#역1,역2,거리[m],시간
#1호선		거리(km)	시간(min)
#
도화역 1호선	제물포역 1호선	1.5	2.2
제물포역 1호선	도원역 1호선	1.5	2.2
도원역 1호선	동인천역 1호선	1.5	2.2
동인천역 1호선	인천역 1호선	1.5	2.2
#구로 - 신창		1.5	2.2
구로역 1호선	가산디지털단지 1호선	1.5	2.2
가산디지털단지 1호선	독산역 1호선	1.5	2.2
독산역 1호선	금천구청역 1호선	1.5	2.2
금천구청역 1호선	석수역 1호선	1.5	2.2
석수역 1호선	관악역 1호선	1.5	2.2
관악역 1호선	안양역 1호선	1.5	2.2
안양역 1호선	명학역 1호선	1.5	2.2
명학역 1호선	금정역 1호선	1.5	2.2
금정역 1호선	군포역 1호선	1.5	2.2
군포역 1호선	당정역 1호선	1.5	2.2
당정역 1호선	의왕역 1호선	1.5	2.2
의왕역 1호선	성균관대역 1호선	1.5	2.2
성균관대역 1호선	화서역 1호선	1.5	2.2
화서역 1호선	수원역 1호선	1.5	2.2
수원역 1호선	세류역 1호선	1.5	2.2
세류역 1호선	병점역 1호선	1.5	2.2
병점역 1호선	세마역 1호선	1.5	2.2
세마역 1호선	오산대역 1호선	1.5	2.2
오산대역 1호선	오산역 1호선	1.5	2.2
오산역 1호선	진위역 1호선	1.5	2.2
진위역 1호선	송탄역 1호선	1.5	2.2
송탄역 1호선	서정리역 1호선	1.5	2.2
서정리역 1호선	지제역 1호선	1.5	2.2
지제역 1호선	평택역 1호선	1.5	2.2
평택역 1호선	성환역 1호선	1.5	2.2
성환역 1호선	직산역 1호선	1.5	2.2
직산역 1호선	두정역 1호선	1.5	2.2
두정역 1호선	천안역 1호선	1.5	2.2
천안역 1호선	봉명역 1호선	1.5	2.2
봉명역 1호선	쌍용역 1호선	1.5	2.2
쌍용역 1호선	아산역 1호선	1.5	2.2
아산역 1호선	배방역 1호선	1.5	2.2
배방역 1호선	온양온천역 1호선	1.5	2.2
온양온천역 1호선	신창역 1호선	1.5	2.2
#금천구청-광명		1.5	2.2
금천구청역 1호선	광명역 1호선	1.5	2.2
#병점-서동탄		1.5	2.2
병점역 1호선	서동탄역 1호선	1.5	2.2
#
#2호선		거리(km)	시간(min)
시청역 2호선	을지로입구역 2호선	0.7	2
을지로입구역 2호선	을지로3가역 2호선	0.8	2
을지로3가역 2호선	을지로4가역 2호선	0.6	2
을지로4가역 2호선	동대문역사문화공원역 2호선	0.6	2
동대문역사문화공원역 2호선	신당역 2호선	1	2
신당역 2호선	상왕십리역 2호선	0.9	2
상왕십리역 2호선	왕십리역 2호선	0.9	2
왕십리역 2호선	한양대역 2호선	0.8	2
한양대역 2호선	뚝섬역 2호선	1	2
뚝섬역 2호선	성수역 2호선	1.1	2
성수역 2호선	건대입구역 2호선	0.8	2
건대입구역 2호선	구의역 2호선	1.2	2
구의역 2호선	강변역 2호선	1.6	2
강변역 2호선	잠실나루역 2호선	0.9	2
잠실나루역 2호선	잠실역 2호선	1.8	2
잠실역 2호선	신천역 2호선	1	2
신천역 2호선	종합운동장역 2호선	1.2	2
종합운동장역 2호선	삼성역 2호선	1.2	2
삼성역 2호선	선릉역 2호선	1	2
선릉역 2호선	역삼역 2호선	1.3	2
역삼역 2호선	강남역 2호선	1.2	2
강남역 2호선	교대역 2호선	0.8	2
교대역 2호선	서초역 2호선	1.2	2
서초역 2호선	방배역 2호선	0.7	2
방배역 2호선	사당역 2호선	1.7	2
사당역 2호선	낙성대역 2호선	1.6	2
낙성대역 2호선	서울대입구역 2호선	1.7	2
서울대입구역 2호선	봉천역 2호선	1	2
봉천역 2호선	신림역 2호선	1	2
신림역 2호선	신대방역 2호선	1.1	2
신대방역 2호선	구로디지털단지역 2호선	1.8	2
구로디지털단지역 2호선	대림역 2호선	1.1	2
대림역 2호선	신도림역 2호선	1.1	2
신도림역 2호선	문래역 2호선	1.8	2
문래역 2호선	영등포구청역 2호선	1.2	2
영등포구청역 2호선	당산역 2호선	0.9	2
당산역 2호선	합정역 2호선	1.1	2
합정역 2호선	홍대입구역 2호선	2	2
홍대입구역 2호선	신촌역 2호선	1.1	2
신촌역 2호선	이대역 2호선	1.3	2
이대역 2호선	아현역 2호선	0.8	2
아현역 2호선	충정로역 2호선	0.9	2
충정로역 2호선	시청역 2호선	0.8	2
#지선1
성수역 2호선	성수역 2호선지선	0.1	15
성수역 2호선지선	용답역 2호선지선	2.3	2
용답역 2호선지선	신답역 2호선지선	11	2
신답역 2호선지선	용두역 2호선지선	0.9	2
용두역 2호선지선	신설동역 2호선지선	1.2	2
용답역 2호선	용답역 2호선지선	0	0
신답역 2호선	신답역 2호선지선	0	0
용두역 2호선	용두역 2호선지선	0	0
신설동역 2호선 	신설동역 2호선지선	0	0
#지선1
신도림역 2호선	신도림역 2호선지선	0.1	15
신도림역 2호선지선	도림천역 2호선지선	1	2
도림천역 2호선지선	양천구청역 2호선지선	1.7	2
양천구청역 2호선지선	신정네거리역 2호선지선	1.9	2
신정네거리역 2호선지선	까치산역 2호선지선	1.4	2
도림천역 2호선	도림천역 2호선지선	0	0
양천구청역 2호선	양천구청역 2호선지선	0	0
신정네거리역 2호선	신정네거리역 2호선지선	0	0
까치산역 2호선	까치산역 2호선지선	0	0
#1-2호선 환승
#
신설동역 1호선	신설동역 2호선 	0.0	15
시청역 1호선	시청역 2호선	0.0	10
신도림역 1호선	신도림역 2호선	0.0	10
#
#3호선
#
대화역 3호선	주엽역 3호선	1.4	3
주엽역 3호선	정발산역 3호선	1.6	3
정발산역 3호선	마두역 3호선	0.9	3
마두역 3호선	백석역 3호선	1.4	3
백석역 3호선	대곡역 3호선	2.5	3
대곡역 3호선	화정역 3호선	2.1	3
화정역 3호선	원당역 3호선	2.6	3
원당역 3호선	원흥역 3호선	2.9	3
원흥역 3호선	삼송역 3호선	2.1	3
삼송역 3호선	지축역 3호선	1.7	3
지축역 3호선	구파발역 3호선	1.5	3
구파발역 3호선	연신내역 3호선	2	2
연신내역 3호선	불광역 3호선	1.3	2
불광역 3호선	녹번역 3호선	1.1	2
녹번역 3호선	홍제역 3호선	1.6	2
홍제역 3호선	무악재역 3호선	0.9	2
무악재역 3호선	독립문역 3호선	1.1	2
독립문역 3호선	경복궁역 3호선	1.6	2
경복궁역 3호선	안국역 3호선	1.1	2
안국역 3호선	종로3가역 3호선	1	2
종로3가역 3호선	을지로3가역 3호선	0.6	2
을지로3가역 3호선	충무로역 3호선	0.7	2
충무로역 3호선	동대입구역 3호선	0.9	2
동대입구역 3호선	약수역 3호선	0.7	2
약수역 3호선	금호역 3호선	0.8	2
금호역 3호선	옥수역 3호선	0.8	2
옥수역 3호선	압구정역 3호선	2.1	2
압구정역 3호선	신사역 3호선	1.5	2
신사역 3호선	잠원역 3호선	0.9	2
잠원역 3호선	고속터미널역 3호선	1.2	2
고속터미널역 3호선	교대역 3호선	1.6	2
교대역 3호선	남부터미널역 3호선	0.9	2
남부터미널역 3호선	양재역 3호선	1.8	2
양재역 3호선	매봉역 3호선	1.2	2
매봉역 3호선	도곡역 3호선	0.8	2
도곡역 3호선	대치역 3호선	0.8	2
대치역 3호선	학여울역 3호선	0.8	2
학여울역 3호선	대청역 3호선	0.9	2
대청역 3호선	일원역 3호선	1.2	2
일원역 3호선	수서역 3호선	1.8	2
수서역 3호선	가락시장역 3호선	1.4	2
가락시장역 3호선	경찰병원역 3호선	0.8	2
경찰병원역 3호선	오금역 3호선	0.8	2
#
#1-3호선 환승
#
종로3가역 1호선	종로3가역 3호선	0.1	10
#
#2-3호선 환승
을지로3가역 2호선	을지로3가역 3호선	0.2	6
교대역 2호선	교대역 3호선	0.2	7
#
#4호선
#
당고개역 4호선	상계역 4호선	1.2	2
상계역 4호선	노원역 4호선	1	2
노원역 4호선	창동역 4호선	1.4	2
창동역 4호선	쌍문역 4호선	1.3	2
쌍문역 4호선	수유역 4호선	1.5	3
수유역 4호선	미아역 4호선	1.4	2
미아역 4호선	미아사거리역 4호선	1.5	2
미아사거리역 4호선	길음역 4호선	1.3	2
길음역 4호선	성신여대입구역 4호선	1.4	2
성신여대입구역 4호선	한성대입구역 4호선	1	3
한성대입구역 4호선	혜화역 4호선	0.9	2
혜화역 4호선	동대문역 4호선	1.5	2
동대문역 4호선	동대문역사문화공원역 4호선	0.7	2
동대문역사문화공원역 4호선	충무로역 4호선	1.3	2
충무로역 4호선	명동역 4호선	0.7	2
명동역 4호선	회현역 4호선	0.7	1
회현역 4호선	서울역 4호선	0.9	2
서울역 4호선	숙대입구역 4호선	1	2
숙대입구역 4호선	삼각지역 4호선	1.2	2
삼각지역 4호선	신용산역 4호선	0.7	2
신용산역 4호선	이촌역 4호선	1.3	2
이촌역 4호선	동작역 4호선	2.7	3
동작역 4호선	총신대입구역 4호선	1.8	3
총신대입구역 4호선	사당역 4호선	1.1	2
사당역 4호선	남태령역 4호선	1.6	2
남태령역 4호선	선바위역 4호선	2	3
선바위역 4호선	경마공원역 4호선	1	2
경마공원역 4호선	대공원역 4호선	0.9	2
대공원역 4호선	과천역 4호선	1	2
과천역 4호선	정부과천청사역 4호선	1	2
정부과천청사역 4호선	인덕원역 4호선	3	4
인덕원역 4호선	평촌역 4호선	1.6	3
평촌역 4호선	범계역 4호선	1.3	2
범계역 4호선	금정역 4호선	2.6	3
금정역 4호선	산본역 4호선	2.3	4
산본역 4호선	수리산역 4호선	1.1	2
수리산역 4호선	대야미역 4호선	2.6	3
대야미역 4호선	반월역 4호선	2	3
반월역 4호선	상록수역 4호선	3.7	4
상록수역 4호선	한대앞역 4호선	1.5	2
한대앞역 4호선	중앙역 4호선	1.6	2
중앙역 4호선	고잔역 4호선	1.4	2
고잔역 4호선	초지역 4호선	1.5	2
초지역 4호선	안산역 4호선	1.8	3
안산역 4호선	신길온천역 4호선	2.2	3
신길온천역 4호선	정왕역 4호선	2.9	4
정왕역 4호선	오이도역 4호선	1.4	2
#
#1-4환승
창동역 1호선	창동역 4호선	0.1	10
서울역 1호선	서울역 4호선	0.1	10
동대문 1호선	동대문 4호선	0.1	10
금정역 1호선	금정역 4호선	0.1	10
#
#2-4호선 환승
#
동대문역사문화공원역 2호선	동대문역사문화공원역 4호선	0.2	10
사당역 2호선	사당역 4호선	0.2	10
#3-4환승
충무로역 3호선	충무로역 4호선	0.2	8
#공항철도		거리(km)	시간(min)
서울역 공항철도	공덕역 공항철도	3.3	4
공덕역 공항철도	홍대입구역 공항철도	2.8	3
홍대입구역 공항철도	디지털미디어시티역 공항철도	3.4	4
디지털미디어시티역 공항철도	김포공항역 공항철도	10.9	10
김포공항역 공항철도	계양역 공항철도	6.6	6
계양역 공항철도	검암역 공항철도	5.5	6
검암역 공항철도	청라국제도시역 공항철도	4.8	5
청라국제도시역 공항철도	운서역 공항철도	13.8	11
운서역 공항철도	공항화물청사역 공항철도	4.3	4
공항화물청사역 공항철도	인천국제공항역 공항철도	2.6	3
#1호선-공항철도		거리(km)	시간(min)
서울역 1호선	서울역 공항철도	0.5	15
#2호선-공항철도
홍대입구역 2호선	홍대입구역 공항철도	0.2	12
#4호선-공항철도
서울역 4호선	서울역 공항철도	0.5	14
##################################################
#5호선		거리	시간
##################################################
방화역 5호선	개화산역 5호선	0.9	2.02
개화산역 5호선	김포공항역 5호선	1.2	2.26
김포공항역 5호선	송정역 5호선	1.2	2.26
송정역 5호선	마곡역 5호선	1.1	2.18
마곡역 5호선	발산역 5호선	1.2	2.26
발산역 5호선	우장산역 5호선	1.1	2.18
우장산역 5호선	화곡역 5호선	1	2.1
화곡역 5호선	까치산역 5호선	1.2	2.26
까치산역 5호선	신정역 5호선	1.3	2.34
신정역 5호선	목동역 5호선	0.8	1.94
목동역 5호선	오목교역 5호선	0.9	2.02
오목교역 5호선	양평역 5호선	1.1	2.18
양평역 5호선	영등포구청역 5호선	0.8	1.94
영등포구청역 5호선	영등포시장역 5호선	0.9	2.02
영등포시장역 5호선	신길역 5호선	1.1	2.18
신길역 5호선	여의도역 5호선	1	2.1
여의도역 5호선	여의나루역 5호선	1	2.1
여의나루역 5호선	마포역 5호선	1.8	2.74
마포역 5호선	공덕역 5호선	0.8	1.94
공덕역 5호선	애오개역 5호선	1.1	2.18
애오개역 5호선	충정로역 5호선	0.9	2.02
충정로역 5호선	서대문역 5호선	0.7	1.86
서대문역 5호선	광화문역 5호선	1.1	2.18
광화문역 5호선	종로3가역 5호선	1.2	2.26
종로3가역 5호선	을지로4가역 5호선	1	2.1
을지로4가역 5호선	동대문역사문화공원역 5호선	0.9	2.02
동대문역사문화공원역 5호선	청구역 5호선	0.9	2.02
청구역 5호선	신금호역 5호선	0.9	2.02
신금호역 5호선	행당역 5호선	0.8	1.94
행당역 5호선	왕십리역 5호선	0.9	2.02
왕십리역 5호선	마장역 5호선	0.7	1.86
마장역 5호선	답십리역 5호선	1	2.1
답십리역 5호선	장한평역 5호선	1.2	2.26
장한평역 5호선	군자역 5호선	1.5	2.5
군자역 5호선	아차산역 5호선	1	2.1
아차산역 5호선	광나루역 5호선	1.5	2.5
광나루역 5호선	천호역 5호선	2	2.9
천호역 5호선	강동역 5호선	0.8	1.94
강동역 5호선	길동역 5호선	0.9	2.02
길동역 5호선	굽은다리역 5호선	0.8	1.94
굽은다리역 5호선	명일역 5호선	0.7	1.86
명일역 5호선	고덕역 5호선	1.2	2.26
고덕역 5호선	상일동역 5호선	1.1	2.18
강동역 5호선	둔촌동역 5호선	1.2	2.26
둔촌동역 5호선	올림픽공원역 5호선	1.4	2.42
올림픽공원역 5호선	방이역 5호선	0.9	2.02
방이역 5호선	오금역 5호선	0.9	2.02
오금역 5호선	개롱역 5호선	0.9	2.02
개롱역 5호선	거여역 5호선	0.9	2.02
거여역 5호선	마천역 5호선	0.9	2.02
##################################################
#5호선환승		거리	시간
##################################################
김포공항역 5호선	김포공항역 공항철도	1	25
까치산역 5호선	까치산역 2호선	0.5	15
영등포구청역 5호선	영등포구청역 2호선	0.5	15
신길역 5호선	신길역 1호선	0.5	15
충정로역 5호선	충정로역 2호선	1	20
을지로4가역 5호선	을지로4가역 2호선	0.5	15
동대문역사문화공원역 5호선	동대문역사문화공원역 4호선	0.5	15
동대문역사문화공원역 5호선	동대문역사문화공원역 2호선	0.5	15
왕십리역 5호선	왕십리역 분당선	0.5	15
왕십리역 5호선	왕십리역 경의중앙선	0.5	15
오금역 5호선	오금역 3호선	0.5	15
######################################################
#6호선
###############################################################
#6호선		거리	시간
응암역 6호선	역촌역 6호선	1.1	2.18
역촌역 6호선	불광역 6호선	0.8	1.94
불광역 6호선	독바위역 6호선	0.9	2.02
독바위역 6호선	연신내역 6호선	1.4	2.42
연신내역 6호선	구산역 6호선	0.9	2.02
구산역 6호선	응암역 6호선	1.5	2.5
응암역 6호선	새절역 6호선	0.9	2.02
새절역 6호선	증산역 6호선	0.9	2.02
증산역 6호선	디지털미디어시티역 6호선	1.1	2.18
디지털미디어시티역 6호선	월드컵경기장역 6호선	0.8	1.94
월드컵경기장역 6호선	마포구청역 6호선	0.8	1.94
마포구청역 6호선	망원역 6호선	1	2.1
망원역 6호선	합정역 6호선	0.8	1.94
합정역 6호선	상수역 6호선	0.8	1.94
상수역 6호선	광흥창역 6호선	0.9	2.02
광흥창역 6호선	대흥역 6호선	1	2.1
대흥역 6호선	공덕역 6호선	0.9	2.02
공덕역 6호선	효창공원앞역 6호선	0.9	2.02
효창공원앞역 6호선	삼각지역 6호선	1.2	2.26
삼각지역 6호선	녹사평역 6호선	1.1	2.18
녹사평역 6호선	이태원역 6호선	0.8	1.94
이태원역 6호선	한강진역 6호선	1	2.1
한강진역 6호선	버티고개역 6호선	1	2.1
버티고개역 6호선	약수역 6호선	0.7	1.86
약수역 6호선	청구역 6호선	0.8	1.94
청구역 6호선	신당역 6호선	0.7	1.86
신당역 6호선	동묘앞역 6호선	0.6	1.78
동묘앞역 6호선	창신역 6호선	0.9	2.02
창신역 6호선	보문역 6호선	0.8	1.94
보문역 6호선	안암역 6호선	0.9	2.02
안암역 6호선	고려대역 6호선	0.8	1.94
고려대역 6호선	월곡역 6호선	1.4	2.42
월곡역 6호선	상월곡역 6호선	0.8	1.94
상월곡역 6호선	돌곶이역 6호선	0.8	1.94
돌곶이역 6호선	석계역 6호선	1	2.1
석계역 6호선	태릉입구역 6호선	0.8	1.94
태릉입구역 6호선	화랑대역 6호선	0.9	2.02
화랑대역 6호선	봉화산역 6호선	0.7	1.86
##################################################
#6호선환승		거리	시간
##################################################
#6호선 환승		거리(km)	시간(min)
연신내역 6호선	연신내역 3호선	1	25
불광역 6호선	불광역 3호선	1	25
디지털미디어시티역 6호선	디지털미디어시티역 공항철도	1	25
합정역 6호선	합정역 2호선	1	25
공덕역 6호선	공덕역 5호선	1	25
삼각지역 6호선	삼각지역 4호선	1	25
약수역 6호선	약수역 3호선	1	25
청구역 6호선	청구역 5호선	1	25
신당역 6호선	신당역 2호선	1	25
동묘앞역 6호선	동묘앞역 1호선	1	25
석계역 6호선	석계역 1호선	1	25
태릉입구역 6호선	태릉입구역 7호선	1	25
##############################################
#7호선		거리	시간
##############################################
장암역 7호선	도봉산역 7호선	1.4	2.42
도봉산역 7호선	수락산역 7호선	1.6	2.58
수락산역 7호선	마들역 7호선	1.4	2.42
마들역 7호선	노원역 7호선	1.2	2.26
노원역 7호선	중계역 7호선	1.1	2.18
중계역 7호선	하계역 7호선	1	2.1
하계역 7호선	공릉역 7호선	1.3	2.34
공릉역 7호선	태릉입구역 7호선	0.8	1.94
태릉입구역 7호선	먹골역 7호선	0.9	2.02
먹골역 7호선	중화역 7호선	0.9	2.02
중화역 7호선	상봉역 7호선	1	2.1
상봉역 7호선	면목역 7호선	0.8	1.94
면목역 7호선	사가정역 7호선	0.9	2.02
사가정역 7호선	용마산역 7호선	0.8	1.94
용마산역 7호선	중곡역 7호선	0.9	2.02
중곡역 7호선	군자역 7호선	1.1	2.18
군자역 7호선	어린이대공원역 7호선	1.1	2.18
어린이대공원역 7호선	건대입구역 7호선	0.8	1.94
건대입구역 7호선	뚝섬유원지역 7호선	1	2.1
뚝섬유원지역 7호선	청담역 7호선	2	2.9
청담역 7호선	강남구청역 7호선	1.1	2.18
강남구청역 7호선	학동역 7호선	0.9	2.02
학동역 7호선	논현역 7호선	1	2.1
논현역 7호선	반포역 7호선	0.9	2.02
반포역 7호선	고속터미널역 7호선	0.9	2.02
고속터미널역 7호선	내방역 7호선	2.2	3.06
내방역 7호선	이수역 7호선	1	2.1
이수역 7호선	남성역 7호선	1	2.1
남성역 7호선	숭실대입구역 7호선	2	2.9
숭실대입구역 7호선	상도역 7호선	0.9	2.02
상도역 7호선	장승배기역 7호선	0.9	2.02
장승배기역 7호선	신대방삼거리역 7호선	1.2	2.26
신대방삼거리역 7호선	보라매역 7호선	0.8	1.94
보라매역 7호선	신풍역 7호선	0.9	2.02
신풍역 7호선	대림역 7호선	1.4	2.42
대림역 7호선	남구로역 7호선	1.1	2.18
남구로역 7호선	가산디지털단지역 7호선	0.8	1.94
가산디지털단지역 7호선	철산역 7호선	1.4	2.42
철산역 7호선	광명사거리역 7호선	1.3	2.34
광명사거리역 7호선	천왕역 7호선	1.7	2.66
천왕역 7호선	온수역 7호선	1.5	2.5
온수역 7호선	까치울역 7호선	2.2	3.06
까치울역 7호선	부천종합운동장역 7호선	1.2	2.26
부천종합운동장역 7호선	춘의역 7호선	0.9	2.02
춘의역 7호선	신중동역 7호선	1	2.1
신중동역 7호선	부천시청역 7호선	1.1	2.18
부천시청역 7호선	상동역 7호선	0.9	2.02
상동역 7호선	삼산체육관역 7호선	1.1	2.18
삼산체육관역 7호선	굴포천역 7호선	0.9	2.02
굴포천역 7호선	부평구청역 7호선	0.9	2.02
##############################################
#7호선환승		거리(km)	시간(min)
##############################################
도봉산역 7호선	도봉산역 1호선	1	25
노원역 7호선	노원역 4호선	1	25
태릉입구역 7호선	태릉입구역 6호선	1	25
상봉역 7호선	상봉역 경의중앙선	1	25
군자역 7호선	군자역 5호선	1	25
건대입구역 7호선	건대입구역 2호선	1	25
강남구청역 7호선	강남구청역 분당선	1	25
고속터미널역 7호선	고속터미널역 3호선	1	25
이수역 7호선	이수역 4호선	1	25
대림역 7호선	대림역 2호선	1	25
가산디지털단지역 7호선	가산디지털단지역 1호선	1	25
온수역 7호선	온수역 1호선	1	25
################################################
#8호선		거리(km)	시간(min)
################################################
 암사역 8호선	천호역 8호선	1.3	2.34
 천호역 8호선	강동구청역 8호선	0.9	2.02
 강동구청역 8호선	몽촌토성역 8호선	1.6	2.58
 몽촌토성역 8호선	잠실역 8호선	0.8	1.94
 잠실역 8호선	석촌역 8호선	1.2	2.26
 석촌역 8호선	송파역 8호선	0.9	2.02
 송파역 8호선	가락시장역 8호선	0.8	1.94
 가락시장역 8호선	문정역 8호선	0.9	2.02
 문정역 8호선	장지역 8호선	0.9	2.02
 장지역 8호선	복정역 8호선	0.9	2.02
 복정역 8호선	산성역 8호선	2.7	3.46
 산성역 8호선	남한산성입구역 8호선	1.3	2.34
 남한산성입구역 8호선	단대오거리역 8호선	0.8	1.94
 단대오거리역 8호선	신흥역 8호선	0.8	1.94
 신흥역 8호선	수진역 8호선	0.9	2.02
 수진역 8호선	모란역 8호선	1	2.1
################################################
#8호선 환승
################################################
천호역 8호선 분당선	천호역 5호선	1	25
잠실역 8호선	잠실역 2호선	1	25
가락시장역 8호선	가락시장역 3호선	1	25
복정역 8호선	복정역 분당선	1	25
모란역 8호선	모란역 분당선	1	25
####################################################
#9호선
#####################################################
#9호선		거리(km)	시간(min)
개화역 9호선	김포공항역 9호선	3.6	4.18
김포공항역 9호선	공항시장역 9호선	0.8	1.94
공항시장역 9호선	신방화역 9호선	0.8	1.94
신방화역 9호선	마곡나루역 9호선	0.9	2.02
마곡나루역 9호선	양천향교역 9호선	1.4	2.42
양천향교역 9호선	가양역 9호선	1.3	2.34
가양역 9호선	증미역 9호선	0.7	1.86
증미역 9호선	등촌역 9호선	1	2.1
등촌역 9호선	염창역 9호선	0.9	2.02
염창역 9호선	신목동역 9호선	0.9	2.02
신목동역 9호선	선유도역 9호선	1.2	2.26
선유도역 9호선	당산역 9호선	1	2.1
당산역 9호선	국회의사당역 9호선	1.5	2.5
국회의사당역 9호선	여의도역 9호선	0.9	2.02
여의도역 9호선	샛강역 9호선	0.8	1.94
샛강역 9호선	노량진역 9호선	1.2	2.26
노량진역 9호선	노들역 9호선	1.1	2.18
노들역 9호선	흑석역 9호선	1.1	2.18
흑석역 9호선	동작역 9호선	1.4	2.42
동작역 9호선	구반포역 9호선	1	2.1
구반포역 9호선	신반포역 9호선	0.7	1.86
신반포역 9호선	고속터미널역 9호선	0.8	1.94
고속터미널역 9호선	사평역 9호선	1.1	2.18
사평역 9호선	신논현역 9호선	0.9	2.02
신논현역 9호선	언주역 9호선	0.8	1.94
언주역 9호선	선정릉역 9호선	0.9	2.02
선정릉역 9호선	삼성중앙역 9호선	0.8	1.94
삼성중앙역 9호선	봉은사역 9호선	0.8	1.94
봉은사역 9호선	종합운동장역 9호선	1.4	2.42
###############################################
#9호선 환승
################################################
김포공항역 9호선	김포공항역 5호선	1	25
김포공항역 9호선	김포공항역 공항철도	1	25
당산역 9호선	당산역 2호선	1	25
여의도역 9호선	여의도역 5호선	1	25
노량진역 9호선	노량진역 1호선 	1	25
동작역 9호선	동작역 4호선 	1	25
고속터미널역 9호선	고속터미널역 3호선	1	25
고속터미널역 9호선	고속터미널역 7호선	1	25
선정릉역 9호선	선정릉역 분당선	1	25
종합운동장역 9호선	종합운동장역 2호선	1	25
###############################################
#분당선		거리(km)	시간(min)
###############################################
왕십리역 분당선	서울숲역 분당선	2.2	3.06
서울숲역 분당선	압구정로데오역 분당선	1.9	2.82
압구정로데오역 분당선	강남구청역 분당선	1.2	2.26
강남구청역 분당선	선정릉역 분당선	0.7	1.86
선정릉역 분당선	선릉역 분당선	0.7	1.86
선릉역 분당선	한티역 분당선	1	2.1
한티역 분당선	도곡역 분당선	0.7	1.86
도곡역 분당선	구룡역 분당선	0.6	1.78
구룡역 분당선	개포동역 분당선	0.7	1.86
개포동역 분당선	대모산입구역 분당선	0.6	1.78
대모산입구역 분당선	수서역 분당선	3	3.7
수서역 분당선	복정역 분당선	3.2	3.86
복정역 분당선	가천대역 분당선	2.4	3.22
가천대역 분당선	태평역 분당선	1	2.1
태평역 분당선	모란역 분당선	0.9	2.02
모란역 분당선	야탑역 분당선	2.3	3.14
야탑역 분당선	이매역 분당선	1.7	2.66
이매역 분당선	서현역 분당선	1.4	2.42
서현역 분당선	수내역 분당선	1.1	2.18
수내역 분당선	정자역 분당선	1.6	2.58
정자역 분당선	미금역 분당선	1.8	2.74
미금역 분당선	오리역 분당선	1.1	2.18
오리역 분당선	죽전역 분당선	1.8	2.74
죽전역 분당선	보정역 분당선	1.3	2.34
보정역 분당선	구성역 분당선	1.6	2.58
구성역 분당선	신갈역 분당선	1.6	2.58
신갈역 분당선	기흥역 분당선	1.4	2.42
기흥역 분당선	상갈역 분당선	1.9	2.82
상갈역 분당선	청명역 분당선	2.8	3.54
